date,pm25,o3,no2,co,city,pm10,so2
2023-03-21,66, 9, 31, 11,Hanoi, 60, 18
2023-03-21,44, 27, 24, 3,New York,,
2023-03-22,87, 15, 31, 8,Hanoi, 78, 18
2023-03-22,45, 28, 22, 3,New York,,
2023-03-23,132, 15, 33, 10,Hanoi, 78, 18
2023-03-23,41, 12, 23, ,New York,,
2023-03-24,117, 11, 31, 9,Hanoi, 77, 18
2023-03-24,70, 26, 11, ,New York,,
2023-03-25,120, 11, 26, 9,Hanoi, 66, 18
2023-03-25,41, 24, 10, ,New York,,
2023-03-26,90, 6, 18, 4,Hanoi, 51, 19
2023-03-26,32, 37, 11, ,New York,,
2023-03-27,56, 7, 19, 5,Hanoi, 44, 19
2023-03-27,35, 33, 20, ,New York,,
2023-03-28,54, 7, 22, 5,Hanoi, 57, 19
2023-03-28,33, 31, 11, ,New York,,
2023-03-29,67, 8, 21, 6,Hanoi, 50, 19
2023-03-29,30, 32, 14, ,New York,,
2023-03-30,69, 5, 26, 7,Hanoi, 60, 19
2023-03-30,29, 32, 8, ,New York,,
2023-03-31,79, 5, 41, 14,Hanoi, 88, 20
2023-03-31,27, 31, 30, ,New York,,
2023-04-01,135, 5, 37, 13,Hanoi, 68, 21
2023-04-01,47, 34, 15, 3,New York,,
2023-04-02,104, 9, 26, 9,Hanoi, 49, 20
2023-04-02,43, 37, 5, 1,New York,,
2023-04-03,69, 11, 25, 9,Hanoi, 54, 18
2023-04-03,18, 42, 17, 2,New York,,
2023-04-04,72, 12, 30, 12,Hanoi, 70, 19
2023-04-04,27, 26, 24, 4,New York,,
2023-04-05,95, 12, 30, 8,Hanoi, 77, 18
2023-04-05,47, 30, 9, 2,New York,,
2023-04-06,121, 13, 27, 8,Hanoi, 70, 18
2023-04-06,47, 86, 19, 3,New York,,
2023-04-07,105, 10, 31, 7,Hanoi, 69, 18
2023-04-07,52, 35, 6, 2,New York,,
2023-04-08,91, 15, 24, 3,Hanoi, 73, 18
2023-04-08,22, 36, 9, 1,New York,,
2023-04-09,103, 9, 28, 6,Hanoi, 71, 19
2023-04-09,23, 36, 13, 2,New York,,
2023-04-10,108, 5, 33, 10,Hanoi, 59, 19
2023-04-10,31, 38, 21, 2,New York,,
2023-04-11,99, 7, 31, 11,Hanoi, 61, 19
2023-04-11,38, 42, 17, 2,New York,,
2023-04-12,101, 9, 32, 12,Hanoi, 60, 19
2023-04-12,38, 46, 11, 2,New York,,
2023-04-13,94, 10, 28, 8,Hanoi, 45, 18
2023-04-13,41, 57, 17, 2,New York,,
2023-04-14,61, 11, 32, 13,Hanoi, 48, 18
2023-04-14,51, 47, 20, 3,New York,,
2023-04-15,71, 12, 31, 11,Hanoi, 68, 18
2023-04-15,58, 82, 12, 2,New York,,
2023-04-16,105, 10, 34, 9,Hanoi, 74, 18
2023-04-16,31, 29, 10, 2,New York,,
2023-04-17,99, 12, 25, 6,Hanoi, 70, 17
2023-04-17,39, 36, 9, 2,New York,,
2023-04-18,100, 13, 24, 13,Hanoi, 60, 18
2023-04-18,39, 33, 7, 1,New York,,
2023-04-19,84, 19, 27, 11,Hanoi, 83, 18
2023-04-19,23, 38, 11, 2,New York,,
2023-04-20,122, 18, 40, 12,Hanoi, 87, 19
2023-04-20,30, 28, 15, 2,New York,,
2023-04-21,127, 17, 40, 11,Hanoi, 85, 18
2023-04-21,39, 38, 17, 2,New York,,
2023-04-22,130, 17, 24, 8,Hanoi, 77, 18
2023-04-22,43, 29, 5, 2,New York,,
2023-04-23,109, 17, 21, 5,Hanoi, 61, 17
2023-04-23,57, 36, 7, 2,New York,,
2023-04-24,83, 18, 21, 7,Hanoi, 59, 18
2023-04-24,20, 35, 8, 2,New York,,
2023-04-25,72, 16, 25, 4,Hanoi, 46, 17
2023-04-25,15, 32, 11, 2,New York,,
2023-04-26,42, 12, 29, 5,Hanoi, 55, 18
2023-04-26,26, 37, 14, 2,New York,,
2023-04-27,68, 13, 32, 5,Hanoi, 66, 18
2023-04-27,40, 33, 17, 2,New York,,
2023-04-28,96, 12, 22, 5,Hanoi, 54, 18
2023-04-28,51, 37, 12, 2,New York,,
2023-04-29,58, 12, 25, 4,Hanoi, 46, 18
2023-04-29,43, 32, 6, 1,New York,,
2023-04-30,41, 12, 25, 3,Hanoi, 57, 18
2023-04-30,25, 27, 9, 2,New York,,
2023-05-01,53, 22, 26, 3,Hanoi, 80, 18
2023-05-01,25, 57, 9, 2,New York,,
2023-05-02,100, 16, 21, 2,Hanoi, 67, 18
2023-05-02,19, 20, 11, 2,New York,,
2023-05-03,70, 14, 14, 1,Hanoi, 45, 17
2023-05-03,15, 79, 10, 2,New York,,
2023-05-04,45, 20, 16, 5,Hanoi, 49, 17
2023-05-04,17, 23, 15, 2,New York,,
2023-05-05,60, 25, 24, 8,Hanoi, 63, 18
2023-05-05,30, 25, 17, 2,New York,,
2023-05-06,77, 31, 22, 6,Hanoi, 72, 18
2023-05-06,37, 31, 16, 2,New York,,
2023-05-07,99, 25, 21, 4,Hanoi, 66, 18
2023-05-07,31, 36, 8, 1,New York,,
2023-05-08,90, 69, 27, 5,Hanoi, 47, 18
2023-05-08,29, 36, 6, 1,New York,,
2023-05-09,51, 25, 30, 10,Hanoi, 58, 19
2023-05-09,24, 35, 10, 1,New York,,
2023-05-10,83, 34, 26, 9,Hanoi, 54, 18
2023-05-10,28, 39, 16, 2,New York,,
2023-05-11,74, 60, 32, 7,Hanoi, 44, 18
2023-05-11,35, 46, 14, 1,New York,,
2023-05-12,40, 14, 26, 7,Hanoi, 40, 18
2023-05-12,55, 50, 16, 2,New York,,
2023-05-13,41, 18, 18, 2,Hanoi, 32, 18
2023-05-13,66, 46, 10, 1,New York,,
2023-05-14,35, 19, 25, 6,Hanoi, 39, 18
2023-05-14,52, 34, 3, 1,New York,,
2023-05-15,56, 33, 29, 6,Hanoi, 52, 18
2023-05-15,29, 39, 8, 1,New York,,
2023-05-16,67, 36, 23, 6,Hanoi, 50, 18
2023-05-16,14, 46, 11, 1,New York,,
2023-05-17,65, 39, 29, 7,Hanoi, 72, 18
2023-05-17,40, 35, 4, ,New York,,
2023-05-18,103, 36, 24, 8,Hanoi, 81, 19
2023-05-18,29, 32, 8, 1,New York,,
2023-05-19,122, 38, 44, 8,Hanoi, 67, 19
2023-05-19,23, 36, 12, 1,New York,,
2023-05-20,96, 102, 24, 6,Hanoi, 68, 18
2023-05-20,28, 20, 11, 2,New York,,
2023-05-21,104, 102, 21, 5,Hanoi, 63, 18
2023-05-21,31, 31, 6, 2,New York,,
2023-05-22,92, 126, 24, 8,Hanoi, 67, 18
2023-05-22,48, 32, 12, 2,New York,,
2023-05-23,95, 103, 27, 6,Hanoi, 65, 18
2023-05-23,63, 74, 9, 1,New York,,
2023-05-24,91, 74, 21, 5,Hanoi, 62, 18
2023-05-24,44, 32, 20, 2,New York,,
2023-05-25,90, 53, 33, 9,Hanoi, 51, 18
2023-05-25,40, 28, 4, 1,New York,,
2023-05-26,59, 46, 25, 9,Hanoi, 50, 19
2023-05-26,19, 35, 9, 1,New York,,
2023-05-27,56, 61, 22, 7,Hanoi, 47, 18
2023-05-27,25, 45, 9, 1,New York,,
2023-05-28,49, 55, 18, 5,Hanoi, 39, 18
2023-05-28,29, 39, 13, 2,New York,,
2023-05-29,46, 77, 33, 8,Hanoi, 53, 18
2023-05-29,27, 39, 11, 2,New York,,
2023-05-30,62, 49, 31, 8,Hanoi, 58, 19
2023-05-30,44, 33, 6, 1,New York,,
2023-05-31,69, 41, 27, 7,Hanoi, 62, 19
2023-05-31,63, 34, 12, 2,New York,,
2023-06-01,86, 80, 23, 7,Hanoi, 61, 19
2023-06-01,49, 51, 19, 3,New York,,
2023-06-02,95, 92, 32, 9,Hanoi, 61, 19
2023-06-02,59, 72, 25, 4,New York,,
2023-06-03,82, 34, 25, 6,Hanoi, 57, 18
2023-06-03,65, 27, 6, 1,New York,,
2023-06-04,72, 36, 30, 6,Hanoi, 59, 18
2023-06-04,48, 26, 3, 1,New York,,
2023-06-05,75, 28, 33, 10,Hanoi, 57, 19
2023-06-05,22, 32, 5, 1,New York,,
2023-06-06,83, 37, 21, 7,Hanoi, 55, 19
2023-06-06,37, 43, 10, 4,New York,,
2023-06-07,77, 60, 23, 5,Hanoi, 52, 19
2023-06-07,163, 32, 9, 7,New York,,
2023-06-08,75, 40, 31, 9,Hanoi, 65, 19
2023-06-08,247, 30, 9, 6,New York,,
2023-06-09,114, 25, 22, 8,Hanoi, 40, 18
2023-06-09,168, 26, 7, 1,New York,,
2023-06-10,47, 24, 32, 9,Hanoi, 61, 18
2023-06-10,53, 30, 6, 1,New York,,
2023-06-11,89, 29, 19, 5,Hanoi, 67, 18
2023-06-11,49, 51, 18, 4,New York,,
2023-06-12,115, 22, 29, 12,Hanoi, 65, 19
2023-06-12,91, 40, 10, 2,New York,,
2023-06-13,101, 26, 20, 5,Hanoi, 49, 18
2023-06-13,77, 46, 5, 1,New York,,
2023-06-14,78, 15, 19, 6,Hanoi, 35, 18
2023-06-14,34, 37, 13, 2,New York,,
2023-06-15,42, 40, 26, 9,Hanoi, 44, 18
2023-06-15,41, 34, 6, 1,New York,,
2023-06-16,51, 135, 34, 9,Hanoi, 53, 18
2023-06-16,33, 45, 17, 2,New York,,
2023-06-17,58, , 24, 6,Hanoi, 49, 18
2023-06-17,47, 37, 5, 2,New York,,
2023-06-18,47, , 22, 7,Hanoi, 39, 18
2023-06-18,81, 31, 3, 2,New York,,
2023-06-19,41, , 29, 10,Hanoi, 55, 19
2023-06-19,57, 38, 6, 2,New York,,
2023-06-20,54, 21, 30, 10,Hanoi, 57, 19
2023-06-20,35, 33, 6, 1,New York,,
2023-06-21,66, 127, 31, 10,Hanoi, 56, 19
2023-06-21,32, 25, 3, 1,New York,,
2023-06-22,62, 138, 37, 13,Hanoi, 65, 19
2023-06-22,18, 26, 4, 1,New York,,
2023-06-23,78, 13, 22, 6,Hanoi, 41, 18
2023-06-23,20, 15, 13, 2,New York,,
2023-06-24,49, , 24, 11,Hanoi, 40, 19
2023-06-24,31, 28, 12, 2,New York,,
2023-06-25,45, , 20, 7,Hanoi, 22, 18
2023-06-25,37, 39, 13, 3,New York,,
2023-06-26,25, , 28, 12,Hanoi, 50, 19
2023-06-26,45, 34, 13, 2,New York,,
2023-06-27,60, , 27, 10,Hanoi, 53, 19
2023-06-27,45, 42, 14, 2,New York,,
2023-06-28,57, , 20, 6,Hanoi, 35, 19
2023-06-28,42, 39, 10, 4,New York,,
2023-06-29,36, , 17, 5,Hanoi, 36, 18
2023-06-29,54, 41, 10, 7,New York,,
2023-06-30,41, , 25, 8,Hanoi, 47, 18
2023-06-30,98, 74, 21, 8,New York,,
2023-07-01,50, , 25, 8,Hanoi, 52, 18
2023-07-01,145, 62, 10, 6,New York,,
2023-07-02,61, , 22, 8,Hanoi, 52, 18
2023-07-02,106, 41, 7, 4,New York,,
2023-07-03,56, , 29, 11,Hanoi, 54, 19
2023-07-03,76, 46, 8, 2,New York,,
2023-07-04,64, , 24, 7,Hanoi, 47, 19
2023-07-04,27, 32, 12, 2,New York,,
2023-07-05,57, , 27, 10,Hanoi, 49, 19
2023-07-05,48, 55, 13, 4,New York,,
2023-07-06,51, , 19, 6,Hanoi, 44, 19
2023-07-06,81, 41, 13, 2,New York,,
2023-07-07,41, , 21, 4,Hanoi, 39, 19
2023-07-07,47, 38, 9, 2,New York,,
2023-07-08,34, , 18, 5,Hanoi, 36, 19
2023-07-08,43, 40, 7, 2,New York,,
2023-07-09,35, , 26, 6,Hanoi, 39, 19
2023-07-09,43, 25, 7, 1,New York,,
2023-07-10,30, , 28, 7,Hanoi, 46, 19
2023-07-10,31, 35, 6, 1,New York,,
2023-07-11,46, 16, 27, 7,Hanoi, 44, 19
2023-07-11,18, 53, 7, 1,New York,,
2023-07-12,48, 11, 30, 6,Hanoi, 41, 19
2023-07-12,46, 60, 12, 2,New York,,
2023-07-13,42, 16, 32, 8,Hanoi, 49, 19
2023-07-13,59, 37, 15, 2,New York,,
2023-07-14,56, 11, 26, 7,Hanoi, 45, 19
2023-07-14,61, 36, 9, 2,New York,,
2023-07-15,52, 15, 27, 6,Hanoi, 51, 19
2023-07-15,42, 39, 11, 2,New York,,
2023-07-16,68, 21, 27, 6,Hanoi, 59, 19
2023-07-16,44, 20, 10, 2,New York,,
2023-07-17,79, 25, 31, 7,Hanoi, 74, 19
2023-07-17,29, 58, 11, 2,New York,,
2023-07-18,105, 19, 23, 4,Hanoi, 61, 19
2023-07-18,73, 33, 14, 3,New York,,
2023-07-19,82, 10, 31, 9,Hanoi, 41, 19
2023-07-19,64, 46, 13, 4,New York,,
2023-07-20,60, 8, 28, 10,Hanoi, 57, 19
2023-07-20,95, 45, 11, 3,New York,,
2023-07-21,81, 8, 26, 8,Hanoi, 55, 19
2023-07-21,68, 51, 10, 2,New York,,
2023-07-22,74, 8, 24, 6,Hanoi, 46, 19
2023-07-22,44, 29, 4, 2,New York,,
2023-07-23,48, 8, 20, 4,Hanoi, 35, 19
2023-07-23,22, 43, 8, 2,New York,,
2023-07-24,33, 8, 25, 7,Hanoi, 41, 19
2023-07-24,42, 38, 10, 2,New York,,
2023-07-25,42, 8, 26, 7,Hanoi, 41, 19
2023-07-25,40, 37, 13, 3,New York,,
2023-07-26,39, 15, 28, 7,Hanoi, 49, 19
2023-07-26,38, 56, 12, 3,New York,,
2023-07-27,55, 19, 29, 8,Hanoi, 57, 20
2023-07-27,58, 48, 10, 3,New York,,
2023-07-28,76, 11, 29, 7,Hanoi, 53, 19
2023-07-28,57, 50, 9, 2,New York,,
2023-07-29,64, 18, 26, 7,Hanoi, 54, 19
2023-07-29,41, 46, 6, 2,New York,,
2023-07-30,77, 8, 29, 8,Hanoi, 54, 19
2023-07-30,32, 22, 3, 1,New York,,
2023-07-31,71, 7, 31, 10,Hanoi, 47, 19
2023-07-31,16, 34, 8, 1,New York,,
2023-08-01,60, 9, 29, 10,Hanoi, 39, 19
2023-08-01,24, 30, 5, 1,New York,,
2023-08-02,55, 8, 27, 8,Hanoi, 52, 19
2023-08-02,20, 35, 8, 2,New York,,
2023-08-03,67, 8, 21, 7,Hanoi, 48, 19
2023-08-03,14, 34, 10, 2,New York,,
2023-08-04,58, 6, 26, 10,Hanoi, 33, 20
2023-08-04,20, 32, 11, ,New York,,
2023-08-05,43, 7, 23, 10,Hanoi, 37, 20
2023-08-05,50, 47, 4, 3,New York,,
2023-08-06,52, 7, 25, 9,Hanoi, 44, 20
2023-08-06,59, 41, 4, 3,New York,,
2023-08-07,43, 6, 27, 10,Hanoi, 49, 20
2023-08-07,62, 42, 4, 2,New York,,
2023-08-08,50, 6, 30, 10,Hanoi, 53, 20
2023-08-08,47, 32, 5, 1,New York,,
2023-08-09,53, 9, 26, 9,Hanoi, 52, 20
2023-08-09,17, 36, 4, 2,New York,,
2023-08-10,68, 7, 30, 11,Hanoi, 55, 20
2023-08-10,46, 33, 17, 3,New York,,
2023-08-11,76, 6, 33, 13,Hanoi, 63, 21
2023-08-11,49, 41, 7, 2,New York,,
2023-08-12,94, 8, 28, 9,Hanoi, 58, 20
2023-08-12,51, 41, 11, 3,New York,,
2023-08-13,73, 12, 24, 5,Hanoi, 55, 19
2023-08-13,45, 36, 7, 2,New York,,
2023-08-14,75, 11, 32, 8,Hanoi, 49, 20
2023-08-14,26, 38, 11, 2,New York,,
2023-08-15,54, 11, 30, 8,Hanoi, 42, 19
2023-08-15,29, 29, 6, 2,New York,,
2023-08-16,58, 7, 36, 11,Hanoi, 61, 20
2023-08-16,32, 35, 8, 2,New York,,
2023-08-17,80, 13, 29, 9,Hanoi, 62, 20
2023-08-17,20, 26, 8, 2,New York,,
2023-08-18,86, 12, 28, 8,Hanoi, 53, 20
2023-08-18,25, 35, 8, 2,New York,,
2023-08-19,63, 7, 38, 12,Hanoi, 64, 20
2023-08-19,28, 28, 4, 2,New York,,
2023-08-20,92, 6, 27, 9,Hanoi, 47, 20
2023-08-20,41, 45, 7, 2,New York,,
2023-08-21,57, 6, 35, 11,Hanoi, 55, 20
2023-08-21,49, 39, 10, 3,New York,,
2023-08-22,67, 8, 31, 9,Hanoi, 55, 20
2023-08-22,65, 28, 5, 2,New York,,
2023-08-23,63, 16, 27, 7,Hanoi, 55, 19
2023-08-23,41, 32, 7, 2,New York,,
2023-08-24,70, 8, 30, 8,Hanoi, 45, 18
2023-08-24,23, 25, 9, 2,New York,,
